#m, E
 2004.51 0
2004.53 52
2004.55 53
2004.57 73
2004.59 46
2004.61 77
2004.63 59
2004.65 69
2004.67 62
2004.69 73
2004.71 64
2004.73 90
2004.75 97
2004.77 80
2004.79 113
2004.81 103
2004.83 66
2004.85 108
2004.87 90
2004.89 123
2004.91 106
2004.93 130
2004.95 98
2004.97 135
2004.99 124
2005.01 100
2005.03 105
2005.05 158
2005.07 122
2005.09 148
2005.11 138
2005.13 150
2005.15 115
2005.17 92
2005.19 120
2005.21 131
2005.23 153
2005.25 125
2005.27 155
2005.29 142
2005.31 140
2005.33 152
2005.35 141
2005.37 172
2005.39 181
2005.41 139
2005.43 183
2005.45 144
2005.47 151
2005.49 179
2005.51 146
2005.53 191
2005.55 177
2005.57 161
2005.59 190
2005.61 215
2005.63 158
2005.65 166
2005.67 176
2005.69 159
2005.71 155
2005.73 149
2005.75 193
2005.77 164
2005.79 200
2005.81 212
2005.83 199
2005.85 222
2005.87 186
2005.89 204
2005.91 186
2005.93 222
2005.95 179
2005.97 207
2005.99 183
2006.01 198
2006.03 165
2006.05 205
2006.07 238
2006.09 191
2006.11 245
2006.13 236
2006.15 239
2006.17 242
2006.19 205
2006.21 229
2006.23 231
2006.25 173
2006.27 228
2006.29 224
2006.31 197
2006.33 250
2006.35 230
2006.37 247
2006.39 239
2006.41 238
2006.43 201
2006.45 216
2006.47 240
2006.49 255
2006.51 270
2006.53 263
2006.55 270
2006.57 255
2006.59 249
2006.61 278
2006.63 241
2006.65 237
2006.67 256
2006.69 274
2006.71 245
2006.73 239
2006.75 239
2006.77 297
2006.79 243
2006.81 236
2006.83 287
2006.85 280
2006.87 286
2006.89 246
2006.91 252
2006.93 265
2006.95 258
2006.97 309
2006.99 274
2007.01 292
2007.03 282
2007.05 310
2007.07 303
2007.09 272
2007.11 272
2007.13 256
2007.15 289
2007.17 306
2007.19 337
2007.21 305
2007.23 304
2007.25 289
2007.27 302
2007.29 301
2007.31 311
2007.33 286
2007.35 322
2007.37 337
2007.39 338
2007.41 320
2007.43 319
2007.45 310
2007.47 329
2007.49 289
2007.51 326
2007.53 332
2007.55 328
2007.57 317
2007.59 348
2007.61 352
2007.63 312
2007.65 373
2007.67 358
2007.69 374
2007.71 360
2007.73 416
2007.75 368
2007.77 356
2007.79 390
2007.81 327
2007.83 319
2007.85 356
2007.87 381
2007.89 352
2007.91 340
2007.93 384
2007.95 392
2007.97 374
2007.99 424
2008.01 391
2008.03 420
2008.05 346
2008.07 382
2008.09 387
2008.11 360
2008.13 434
2008.15 383
2008.17 406
2008.19 444
2008.21 387
2008.23 441
2008.25 408
2008.27 430
2008.29 440
2008.31 465
2008.33 449
2008.35 410
2008.37 397
2008.39 462
2008.41 453
2008.43 447
2008.45 482
2008.47 473
2008.49 461
2012.51 0
2012.53 528
2012.55 608
2012.57 564
2012.59 542
2012.61 601
2012.63 590
2012.65 544
2012.67 582
2012.69 488
2012.71 589
2012.73 553
2012.75 575
2012.77 586
2012.79 533
2012.81 516
2012.83 561
2012.85 627
2012.87 540
2012.89 524
2012.91 567
2012.93 584
2012.95 557
2012.97 523
2012.99 525
2013.01 593
2013.03 542
2013.05 560
2013.07 564
2013.09 562
2013.11 568
2013.13 500
2013.15 513
2013.17 519
2013.19 563
2013.21 536
2013.23 583
2013.25 581
2013.27 531
2013.29 473
2013.31 542
2013.33 570
2013.35 539
2013.37 557
2013.39 545
2013.41 520
2013.43 544
2013.45 535
2013.47 519
2013.49 518
2013.51 559
2013.53 509
2013.55 561
2013.57 515
2013.59 514
2013.61 514
2013.63 560
2013.65 503
2013.67 570
2013.69 563
2013.71 514
2013.73 508
2013.75 553
2013.77 466
2013.79 580
2013.81 494
2013.83 486
2013.85 543
2013.87 550
2013.89 544
2013.91 511
2013.93 582
2013.95 513
2013.97 559
2013.99 569
2014.01 536
2014.03 517
2014.05 471
2014.07 555
2014.09 579
2014.11 589
2014.13 516
2014.15 493
2014.17 485
2014.19 530
2014.21 511
2014.23 533
2014.25 490
2014.27 552
2014.29 516
2014.31 549
2014.33 470
2014.35 464
2014.37 497
2014.39 565
